Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
WickedGud,D2C Food Products,Mumbai,Rs 20 crore,Seed,Orios Venture Partners
Dentalkart,Dental Supplies Marketplace,New Delhi,Rs 85 crore,-,"Malabar Investment, Whiteoak"
Godrej Properties,Real Estate,Mumbai,"Rs 6,000 crore",QIP,"Singapore sovereign wealth firm GIC, SBI Pension"
Agrileaf,Cleantech,"Belthangady Taluk, Daskshina Kannada District",$2 million,Growth,Capital-A and Samarsh Capital
GoodLives,HealthTech,Gurugram,Rs 1.1 crore,Pre-Seed,"IIM Lucknow, Rabindranath Tagore University (RNTU), Build3"
Bumboo,Eco-friendly Products,New Delhi,-,Angel,"Rohan Bhargava, co-founder at CashKaro, UrbanPiper CEO Saurabh Gupta, SpotDraft Founder Shashank Bijapur, and NC Media founder Rajneil Kamath"
AdvantageClub.ai,HRTech,Gurugram,$4 million,-,Axilor Ventures
RaptorX,FinTech,India,Rs 4 crore,Pre-Seed,"PeakXV Spark, EagleWings Ventures, Point One Capital"
MasterChow,D2C Food Products,New Delhi,$6.5 million,Series A,Tanglin Venture Partners
Vastu Housing,Housing Finance,Mumbai,$100 million,-,Prosus
Mintifi,Supply Chain Financing,Mumbai,$80 million,-,Prosus
Orange Health,Diagnostics and Healthcare,Bengaluru,$12 million,-,Amazon Smbhav Venture Fund
Sportskeeda,Gaming and Media,Bengaluru,$8.14 million,-,-
Hygenco,Cleantech,Gurugram,Rs 50 crore,Debt,Trifecta
SuperYou,FinTech,Mumbai,-,Series A,"Nithin and Nikhil Kamath, co-founders of Zerodha-backed venture firm Rainmatter"
Enterpret,AI Customer Feedback Platform,San Francisco,$20.8 million,Series A,Canaan Partners
Laurus Bio,Biotechnology,Bengaluru,Rs 120 crore,Equity Investment,Eight Roads Ventures and F-Prime Capital
OneCard,FinTech,Pune,$28.5 million,Series D,"Better Tomorrow Ventures, Peak XV, Z47"
Candytoy Corporate,Corporate Services,Bengaluru,Rs 110 crore,Series A,"Domestic investors, HNIs, angel investors, institutional investors"
ALT Mobility,EV Leasing & Management,New Delhi,$10 million,Series A,"Eurazeo, Shell Ventures, Twynam Earth Fund, EV2 Ventures"
ShopDeck,D2C Tech,Bengaluru,$8 million,Series B,"Bessemer Venture Partners, Elevation Capital, Venture Highway, and Chiratae Ventures"
Elchemy,Specialty Chemicals,Ahmedabad,$5.6 million,Series A,"Prime Venture Partners, InfoEdge Ventures"
All Things Baby,Baby & Mothercare,Mumbai,Rs 30 crore,Series A,"Manish Choksi Family Office, Richa Choksi"
Beyond Appliances,Smart Kitchen Appliances,Bengaluru,$2 million,Seed,"Fireside Venture Investment Fund III, Dharana Capital, Shezan Bhojani, Saurabh Jain, Ramakant Sharma, Chandru Kalro"
Zomato,Food Delivery Platform,Gurugram,"Rs 8,500 crore",Qualified Institutions Placement (QIP),-
Nazara Technologies,Gaming,Mumbai,Rs 855 crore,Preferential Issue,"SBI Mutual Fund, Caratlane founder Mithun Sacheti, Aamara Capital, Think Investments  among others"
WadzPay,Blockchain FinTech,Singapore,SGD $50 million,Share Subscription Facility,GEM Global Yield LLC SCS
ParkMate,Road Transport Tech,Uttar Pradesh,$1.2 million,Pre-Series A,Cactus Partners (CPL)
Ukhi,Biomaterials,New Delhi,$1.2 million,Pre-Seed,"100Unicorns, Venture Catalysts, Avtar Monga"
